Meta;State;Region;Road;Geo;Meters;Residue;;;;;;;
PH4;оренбургская область;undefined;М-5 «Урал» москва – рязань – пенза – самара – уфа – челябинск;становка,становка,оренбург;10+600,293+410; уэлементы обустройство автомобильные дороги общее пользование федеральное значения. удорожные знаки на участок км – км автомобильная дорога (– орск – подъезд к пункт пропуск «Орск»), ;;;;;;;
PH3;ульяновская область;undefined;undefined;Самара,димитровград,ульяновск;21+310,24+200,,27+700,31+850,,45+080,47+580,,50+518,60+000,,73+950,75+600,;" устройство защитные слои на автомобильная дорога ""- -  на участки км - км км - км км – км км - км км - км ";;;;;;;
PH3;ульяновская область;undefined;Р-178 саранск - сурское - ульяновск;undefined;207+000,219+060,; ремонт автомобильная дорога на участок км - км (дополнительные работы);;;;;;;
PH3;республика татарстан;undefined;"М-7 ""Волга"" москва - владимир - нижний новгород - казань - уфа";undefined;1103+000,1109+000; ремонт автомобильная дорога на участок км - км , (дополнительные работы);;;;;;;
PH3;чукотский автономный округ;аэропорт;undefined;undefined;25+164,30+500,; ремонт автомобильная дорога А-384 подъездная дорога от г. анадырь к анадырь (Угольный) на участок км – км ;;;;;;;
PH3;вологодская область;undefined;undefined;крестцы,устюжна;0+000,15+214,,19+460,44+460; оказание услуги по содержание автомобильная дорога общее пользование федеральное значение А-122 автомобильная дорога А-114 – – – яжелбица – великие лука – Невель, км – км км – км ;;;;;;;
PH3;иркутская область;undefined;"А-331 ""Вилюй"" тулун - братск - усть-кут - мирный - Якутск";братск,дорожное;undefined; ликвидация деформации и повреждения покрытие на участки в черта город автомобильная дорога  ;;;;;;;
PH1;undefined;undefined;undefined;дорожное;undefined; капитальный ремонт покрытие;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined;" капитальный ремонт участок асфальтобетонный покрытие территория фгка ""ногинский СЦ мчс России""";;;;;;;
PH3;undefined;уйский;undefined;барнаул,новосибирск,граница;36+850; восстановление подъёмный оборудование для лица с ограниченные возможности на пешеходный мост на км автомобильная дорога общее пользование федеральное значение Р-256 «чтракт» - - горно-алтайск - с Монголией.;;;;;;;
PH1;undefined;undefined;undefined;undefined;44,46,48,50; капитальный ремонт асфальтобетонный покрытие дороги промзоны, с устройство площадка склады № ;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; капитальный ремонт асфальтобетонный покрытие (закупка работы в цели капитальный ремонт государственное имущества);;;;;;;
